n,block_num,thread_num,time
500,1,1,0.54800
500,1,2,0.00027
500,1,2,0.00027
500,10,2,0.00027
500,50,2,0.00027
500,100,2,0.00027
500,250,2,0.00027
500,500,2,0.00027
500,1,20,0.00014
500,1,20,0.00014
500,10,20,0.00014
500,50,20,0.00014
500,100,20,0.00014
500,250,20,0.00014
500,500,20,0.00014
500,1,40,0.00014
500,1,40,0.00014
500,10,40,0.00014
500,50,40,0.00014
500,100,40,0.00014
500,250,40,0.00014
500,500,40,0.00014
500,10,1,0.46700
500,50,1,0.49900
500,100,1,0.51600
500,250,1,0.66800
500,500,1,1.16300
